oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,oekobaudatUuid____XXXXXXXXXXXX____2024-I,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor
7.6.01. Garagensektionaltor,nicht vorhanden,5796c4d9-62e2-45f2-ae6c-23eade5d105b,15d41442-f7d9-46fb-9de4-0c7e68a88f69,Garagensektionaltor,nicht eingestuft,n.e.,n.e.,n.e.
Abwasserrohr ABS,9fcc1331-0b4f-4c52-a5fc-e42d25c601dd,9099dfdd-22a6-4dee-9b60-0e90701e9d99,db10fb32-496b-44a0-8590-7bc20ad010ec,Abwasserrohr ABS,nicht eingestuft,n.e.,n.e.,n.e.
Abwasserrohr GFK,f5c6cbd6-258c-4542-876a-1d44adfc0992,d1ea7d7e-bcfc-496c-8cb6-072f2339eb7f,3154d0c8-8750-47e1-b005-d2a8fadee108,Abwasserrohr GFK,nicht eingestuft,n.e.,n.e.,n.e.
Abwasserrohr PE-HD,cd5b784e-497d-4c76-abbd-d66867e1e986,a198cf71-f033-4b76-9228-d22ca191b2f6,db7d83d8-6a14-48a1-8fc7-2fa442e4ec87,Abwasserrohr PE-HD,nicht eingestuft,n.e.,n.e.,n.e.
Abwasserrohr PP,795b4798-b745-4189-a2b8-5d5f37d8d490,88558ef9-479f-405e-9e94-e36f817a3620,8f523337-8c99-4532-af0e-a1a9d3037a57,Abwasserrohr PP,nicht eingestuft,n.e.,n.e.,n.e.
Abwasserrohr PVC,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,61e47e03-7a7d-48db-a48a-f5368266f7f5,d3f0a22a-a93b-471b-ae73-67e8646d2f7d,Abwasserrohr PVC,nicht eingestuft,n.e.,n.e.,n.e.
"Acetyliertes Holz (1 m3, 510 kg/m3)",nicht vorhanden,3b1f0c75-07a4-4182-b310-5529fc5b54a6,0dec19c7-53db-4cb9-bbba-4d44d3da62a9,Acetyliertes Holz ,Holz - acetyliert,EV+,EV+,0
Acrylat Dichtmasse,b9272c24-9228-45b1-a2a3-d361abe0bb7f,c19ffdbb-75b8-49b3-b16b-e6b9707dc7d6,2167f54e-5f16-4274-9d65-20a6e7b621ff,Acrylat Dichtmasse,nicht eingestuft,n.e.,n.e.,n.e.
Aluminium Profil,bd6d6d89-b76d-4002-a217-afffbb8aa308,fdc99ab8-d843-44ec-a66c-92367d244321,3feca796-791b-46d3-8160-95ef243ffb9d,Aluminium Profil,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75
Aluminiumblech,a4c1c27c-53a0-4027-83f6-88c52c758bb1,f0f13788-bc1b-44d4-9f37-082a6d22b432,143a4df2-563e-4ef9-b75b-90e1cf9f7ef9,Aluminiumblech,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75
"Aluminiumfolie (d=0,1 mm)",785d5ac4-c69d-4e00-941e-26433c1d023d,0fdc2fd3-fe48-499f-9158-74a6cc7185dc,a665af6b-a140-47a9-bb0d-c5c2b70f8c28,"Aluminiumfolie (d=0,1 mm)",Alu-Folie,EB/Dep-,EB/Dep-,0
