oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,oekobaudatUuid____cd2bda71-760b-4fcc-8a0b-3877c10000a8____2021-II,oekobaudatUuid____8201b671-10cd-4dc5-9750-0b856d998be4____2020-I,oekobaudatUuid____0454ab26-f45c-4e24-8260-9e2049738b75____2019-III,oekobaudatUuid____815d8970-02dc-4abc-b02e-78d41b4e4bb5____2019-II,oekobaudatUuid____30b63be3-b76b-4bd4-a876-330790c228a9____2019-I,oekobaudatUuid____cc02f499-6b0f-4556-bb4a-7abe48e55f71____2017,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor,Unnamed: 8,processCategoryNumber,productUuid,eolCategoryUuid
7.6.01. Garagensektionaltor,nicht vorhanden,5796c4d9-62e2-45f2-ae6c-23eade5d105b,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Garagensektionaltor,nicht eingestuft,n.e.,n.e.,n.e.,,,dd1816cf-4a3f-501a-987d-54f3529bb505,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Abwasserrohr ABS,9fcc1331-0b4f-4c52-a5fc-e42d25c601dd,9099dfdd-22a6-4dee-9b60-0e90701e9d99,9fcc1331-0b4f-4c52-a5fc-e42d25c601dd,9fcc1331-0b4f-4c52-a5fc-e42d25c601dd,9fcc1331-0b4f-4c52-a5fc-e42d25c601dd,9fcc1331-0b4f-4c52-a5fc-e42d25c601dd,9fcc1331-0b4f-4c52-a5fc-e42d25c601dd,9fcc1331-0b4f-4c52-a5fc-e42d25c601dd,Abwasserrohr ABS,nicht eingestuft,n.e.,n.e.,n.e.,,6.1,38ae424b-5ba3-5681-b4c4-32b679d0a3d4,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Abwasserrohr GFK,f5c6cbd6-258c-4542-876a-1d44adfc0992,d1ea7d7e-bcfc-496c-8cb6-072f2339eb7f,f5c6cbd6-258c-4542-876a-1d44adfc0992,f5c6cbd6-258c-4542-876a-1d44adfc0992,f5c6cbd6-258c-4542-876a-1d44adfc0992,f5c6cbd6-258c-4542-876a-1d44adfc0992,f5c6cbd6-258c-4542-876a-1d44adfc0992,f5c6cbd6-258c-4542-876a-1d44adfc0992,Abwasserrohr GFK,nicht eingestuft,n.e.,n.e.,n.e.,,6.1,45b952b2-6576-5c07-90e0-1f21146e9270,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Abwasserrohr PE-HD,cd5b784e-497d-4c76-abbd-d66867e1e986,a198cf71-f033-4b76-9228-d22ca191b2f6,cd5b784e-497d-4c76-abbd-d66867e1e986,cd5b784e-497d-4c76-abbd-d66867e1e986,cd5b784e-497d-4c76-abbd-d66867e1e986,cd5b784e-497d-4c76-abbd-d66867e1e986,cd5b784e-497d-4c76-abbd-d66867e1e986,cd5b784e-497d-4c76-abbd-d66867e1e986,Abwasserrohr PE-HD,nicht eingestuft,n.e.,n.e.,n.e.,,6.1,e40cf688-0e0a-524d-8a61-483de8ad57e3,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Abwasserrohr PP,795b4798-b745-4189-a2b8-5d5f37d8d490,88558ef9-479f-405e-9e94-e36f817a3620,795b4798-b745-4189-a2b8-5d5f37d8d490,795b4798-b745-4189-a2b8-5d5f37d8d490,795b4798-b745-4189-a2b8-5d5f37d8d490,795b4798-b745-4189-a2b8-5d5f37d8d490,795b4798-b745-4189-a2b8-5d5f37d8d490,795b4798-b745-4189-a2b8-5d5f37d8d490,Abwasserrohr PP,nicht eingestuft,n.e.,n.e.,n.e.,,6.1,a1882e4b-65df-5402-b0fc-bb237f3ce8bf,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Abwasserrohr PVC,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,61e47e03-7a7d-48db-a48a-f5368266f7f5,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,e1f7f83b-6f6e-4ed8-a666-0d49682982e1,Abwasserrohr PVC,nicht eingestuft,n.e.,n.e.,n.e.,,6.1,a59d86e9-4cb1-55a6-9c86-48d3c65e4442,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
"Acetyliertes Holz (1 m3, 510 kg/m3)",nicht vorhanden,3b1f0c75-07a4-4182-b310-5529fc5b54a6,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Acetyliertes Holz,Holz - acetyliert,EV+,EV+,0,,3.5,f9fdf007-e1af-5b1d-8822-46f9aa025b54,823d2d7b-9d3e-5afd-bf16-cc18d679ba58
Acrylat Dichtmasse,b9272c24-9228-45b1-a2a3-d361abe0bb7f,c19ffdbb-75b8-49b3-b16b-e6b9707dc7d6,b9272c24-9228-45b1-a2a3-d361abe0bb7f,b9272c24-9228-45b1-a2a3-d361abe0bb7f,b9272c24-9228-45b1-a2a3-d361abe0bb7f,b9272c24-9228-45b1-a2a3-d361abe0bb7f,b9272c24-9228-45b1-a2a3-d361abe0bb7f,b9272c24-9228-45b1-a2a3-d361abe0bb7f,Acrylat Dichtmasse,nicht eingestuft,n.e.,n.e.,n.e.,,6.7,1c7d15a1-1a7d-54c0-ab68-e7ee5942909f,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Aluminium Profil,bd6d6d89-b76d-4002-a217-afffbb8aa308,fdc99ab8-d843-44ec-a66c-92367d244321,bd6d6d89-b76d-4002-a217-afffbb8aa308,bd6d6d89-b76d-4002-a217-afffbb8aa308,bd6d6d89-b76d-4002-a217-afffbb8aa308,bd6d6d89-b76d-4002-a217-afffbb8aa308,bd6d6d89-b76d-4002-a217-afffbb8aa308,bd6d6d89-b76d-4002-a217-afffbb8aa308,Aluminium Profil,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75,,4.3,57cb5b00-3dd5-5e2a-820b-c5caec9fdaf1,cd60dac4-5dd7-5df1-b636-9950d605d527
Aluminiumblech,a4c1c27c-53a0-4027-83f6-88c52c758bb1,f0f13788-bc1b-44d4-9f37-082a6d22b432,a4c1c27c-53a0-4027-83f6-88c52c758bb1,a4c1c27c-53a0-4027-83f6-88c52c758bb1,a4c1c27c-53a0-4027-83f6-88c52c758bb1,a4c1c27c-53a0-4027-83f6-88c52c758bb1,a4c1c27c-53a0-4027-83f6-88c52c758bb1,a4c1c27c-53a0-4027-83f6-88c52c758bb1,Aluminiumblech,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75,,4.3,1bc5d063-0309-5001-8f6b-8d675a07d94f,cd60dac4-5dd7-5df1-b636-9950d605d527
